V,graph,ar_time_taken,mh_time_taken
10,"[[ 0 35 97  6 83 35 68 50 35 81]
 [54  0 38  7  7 85 10 79  4 11]
 [91 75  0  0 66  3 59 21 44 10]
 [27 45  8  0  4 29 60 58 86 19]
 [ 2 68  4 70  0 90 86 24 90 99]
 [77 68 39 15 30  0  7 75 67 51]
 [34 68 10 12 12 37  0 54 96 10]
 [93 45 23 54 13 35 59  0 50 10]
 [34 14  7 76 93 84 17  0  0 17]
 [44 43 32 80 54  8 41 47 52  0]]",6e-06,4e-06
20,"[[ 0  2 96 16 76  8 53 89 75 25 65 12  0 68 47 88 33  0 92 55]
 [58  0  2 80 85 20 29 50 23  2  6 91  6 85 48 55 81 61 46 92]
 [52 77  0 96 82 10 75  0 23 16 10 22 41 16 59 72 61 29 15 45]
 [91 75 38  0 14  9 34 44 83 97 72 22 83  2 51 72 21 12 57 87]
 [ 9  6 97 31  0 50 14  2 64 25 25 67 92 11 57 32 30 19 70 29]
 [46 88 32 56 50  0 44 29 62 30 65 12 27 12 76 77 51 48 23 74]
 [94 93  1 26 53 10  0 65 88 83  3 91 77 35 47 86 50  6 77 26]
 [96 10 58 47 72 74 45  0 88 49 59 60 99 30  8 36 61 74 48 23]
 [74 55  4 54 12 18 52 11  0 87 77 50 34 14 57 79 99 38 45 76]
 [ 1 35 86 62  1 43 54 52 30  0 18 31 50 57 50 91  6 32 17 39]
 [22  0 68 44 16 22 70 53 88 98  0 52 60 41 75 48 20  4 29 18]
 [50 79 43 46 64 74 98 85 34 93 61  0  2 83 91 22 81 58  5 51]
 [73 97 12 98 89  1 18 87 43  9 35 60  0 19 43 68 11  7 31 95]
 [79 90 66 86 46 89  7 92 91 92 80 72 92  0 36 42 82 34 74 62]
 [82 78 88 56 50  2 81 13 34 84 61 45 46 58  0 10 37 36 47 65]
 [63  8 25  8 32 77 29 75 43 69 22  3 55 46  0  0 16 51 18 69]
 [ 5 77 38 52 73 89 61 34 43 78 65 79  2 46 26 93  0 89 14 63]
 [31  2 29 72 41 89 80 73 81 96  6 10 33 72 66 81 94  0 38 80]
 [54 33 75 25 68  9 84 56 23 60 72  6 56 38 92 97 26 99  0 39]
 [51  3 67 22 68 18 31 56 81 26 63 63 96 96 91 34  9 30  7  0]]",2.3e-05,1.1e-05
30,"[[ 0 96 44 56 29 11 18 83 99 89 11 88  4 53 54 25 53 19 69 61 71 32 33 23
  56 89 21 33 56 12]
 [82  0 14 45 69 93 78 73 30 68 27 14 63 98  1 51 84 10 84 40 28 12 27 12
  27 89 12 38 35  9]
 [57 47  0 50 77 32 26 33 67 80 29 95 64 83 33 32 25 28 52 58 29 64 69 24
  48 42 63  5 57  9]
 [56  4 22  0 47 66  2 88  5 32 93 36 83 68 50 84  1 48 17 10 42 60 50 90
  50 30 59 55 75  4]
 [72 99  3 13  0 53 83  3 93 12 51 42 35 15 38 14 55 89 47 43 15 97 55 63
  65 55 61 46 26 35]
 [57 75 67 65 48  0 95 97 54 56 43 34 44  0 64  2 15 14 48  9 46 64 76 66
  38  4 79 32 62 17]
 [59 24 76 83 78 38  0 29 94 86 33 11 59 27 32 10  7 14 67 52 60 92 78 65
  50 76 86 20  0 35]
 [25 34 99 71 95 76  2  0 60 84 52  7 65 22  3 90 53 90  7 24 26 53 45 38
  94 93  5 97 59 78]
 [14 21 48 54 26 59 34 92  0 70  6 82 79 23 17 93  3 19 91 55  1 69  6 14
  69 24 74 74 91 83]
 [86 51 48  9 96 51 25 97 97  0 89 42 40 54 57 56 95 34 45 69 16 19  2 32
  82 40 44 75 46 54]
 [47 62 24 68  0 25 25 56 72 92  0  1 17 33 39  4 42 77 72 41 74 35 53 75
  52 58 67 36 68 93]
 [54 32 92 98 45 43 99 56 19 57 88  0 84 41 59 82 23 20 72 52 54 72 91 19
   7 49 97 15 97 47]
 [98 66  8 95 81 42  6 51 49 10 60 60  0 57 42 76  4 99 63  0 73 16 46  6
  67 29 40 14 99 66]
 [52 57 58 34 70 88 48 33 21 95 43 63 83  0 93 33 98 48 10 61 12 60 34 48
  70 39 59 69 73 69]
 [88 60 97 89 90 71 85 74 78 90 31  9 83 46  0 41 18 49 27  9 99 74 10 53
  39 71 25 29 22 15]
 [57 60 70 56 10 21  5 76 29 95 63 88  1 70 97  0 12 36 54 40 98 44  9 98
  40 16 23 78 31 26]
 [87 88 56 50 37 92 16 83 75 20 41 59 84  4 13 28  0 67 93 52 12 73 28 29
  10 19  4 14 13 87]
 [42 25 85 27  4 65 46 34 42 43 42 39 12 91 54 45 49  0  4 85 69 29 63 30
  51 97  5 70 20 77]
 [85 76 20 94  7 31 44 50 47 34 97 50 63 55 65 74 79 93  0 36 21 63 12 92
  67 77 29 86 89 43]
 [53 70 95 99 56 47 83  2 81 78 21 81 66 48 79 28 65 60 10  0 46 78 50 73
  61 40 37 54 23 40]
 [ 3 73 70 94 63 86 78 63 51 49 84 27 43 53 15 22 89 33 34 70  0 27 74 97
  57 54  1 54 27  0]
 [33 29 21 10 53 31 35 81 67 40 27 35 60 91 36  0  0 56  5 85 20  0 10 38
  54 97 59 28 41 49]
 [94 77 29 32 95 81 79 20 80 87 48 32 92 66 28  2 33 16 57 12 89 41  0 91
   5 17 13 29 36 74]
 [28 35 39  3 89 95 50 67 81 89  3 66 90 31 58 41  6 45 97 25 48 70 58  0
  68  3 54 34 66  4]
 [71  9 22 57 48 34 32 51 26 77 23 19  3 25 58 89 19 28 33 84 38 46 77  3
   0 39 56 22  1 44]
 [90 92 27  3 66 90 57 14 83 21 71 79  4 69 60 37 94 65 87 81 18 51 67 17
  98  0 98 94 55 40]
 [91 79 74 22 20 33 34 76 98 86 51 79  3 39 15 12 28 21 92 61 45 63 91 57
  44 96  0 24 27 71]
 [99 47 80 89  9 98 77 91 27 96  8 74 83  6 34 78 63 48  8 69 93 82 48 57
   6 98 22  0 11 39]
 [37 93  7 17 44 94 12 60 40 71 35 57 45  2 41 22 86 32 20 77 31 53 31 11
  68 88 19 24  0 23]
 [18  7 91  1 34 44 58  8 24 67 37 87 10 21  9 67 94 60 47 67 79 53 98 62
  88 53 58 44  8  0]]",1.3e-05,1.6e-05
40,"[[ 0 44 61 ... 99 41 51]
 [ 1  0 87 ...  2 48 17]
 [50  2  0 ... 31 88 56]
 ...
 [69 31 42 ...  0 36 10]
 [97 80 65 ... 56  0 30]
 [53 41 75 ... 13 33  0]]",3.2e-05,2e-05
50,"[[ 0 61 89 ... 56 43 79]
 [ 2  0 90 ... 66 52 41]
 [32 65  0 ... 31 91  4]
 ...
 [ 2 13 34 ...  0 85 75]
 [44 16  0 ... 62  0 72]
 [23 72 98 ... 25 58  0]]",3.9e-05,3e-05
60,"[[ 0 38 66 ... 99 65 85]
 [88  0 31 ... 31 27 56]
 [ 2 90  0 ... 96 67 70]
 ...
 [56 11 98 ...  0 88 41]
 [43 86 16 ... 39  0 93]
 [96 54 23 ... 29 95  0]]",3.1e-05,5.5e-05
70,"[[ 0 71 57 ... 59 29 26]
 [80  0 11 ...  0 76  4]
 [64 10  0 ... 81 81 71]
 ...
 [14 73 43 ...  0  5 42]
 [88 36 87 ... 10  0 69]
 [84  0 52 ...  1 54  0]]",3.9e-05,4.7e-05
80,"[[ 0 92 17 ...  4 90 61]
 [13  0 25 ... 13 71 31]
 [33 59  0 ... 42  0 60]
 ...
 [63 80 75 ...  0 37 46]
 [44 27 31 ... 97  0 19]
 [25 34  7 ... 26 67  0]]",7.3e-05,7.5e-05
90,"[[ 0  6 48 ... 56 73 65]
 [ 6  0 90 ... 40 39 17]
 [80 99  0 ...  8 13 95]
 ...
 [94 71 42 ...  0 46 72]
 [ 7 72 16 ... 14  0 56]
 [51 75  3 ... 41 22  0]]",5.7e-05,0.000105
100,"[[ 0 31 46 ... 71 74 60]
 [38  0 14 ... 44 25 22]
 [32 51  0 ... 86 92 13]
 ...
 [26 34 74 ...  0 86 51]
 [ 7 28 42 ... 45  0 85]
 [69 38 73 ... 22 80  0]]",6.7e-05,7.8e-05
