V,graph,ar_time_taken,mh_time_taken
10,"[[ 0 99 90 92 29 47 50 41 47 76]
 [66  0 49 34 12 32 39 41 94 89]
 [73 38  0 46  2 23 19 11 18 71]
 [89 39 46  0 22 38 20 45 43  5]
 [54 85  8 57  0 14 32 14 17 49]
 [ 0 78 41 96 77  0 77  3 13 48]
 [28 32 44 56 64 23  0 47 36 69]
 [87 52 32 28 93 18 28  0  6 43]
 [ 1 12 96 25 76 37 72 96  0 41]
 [ 9 66 29 51 86 74 80 16 86  0]]",8e-06,7e-06
20,"[[ 0 94 42 66 62 82 89 36 37 94 55 84  0 61  7 85 76 17 95 51]
 [43  0  7 98 24 51 60 48 21 57 74 15 87 18 32 32 58  9 54 67]
 [72 41  0 18 98 69 83  8 88 19 56 26 62 52 13 54 35 88 48 72]
 [93 67 80  0 29 41 18 35 61 94 12 20  2 68 77 13 16 51 86 86]
 [31  2 92 54  0 23 90 49 55 24 78 23 86 95 54 53 18 98 79 35]
 [17 28 75 51 80  0  2 66  1 85 34 68 97 69 66 69 53 94 49 17]
 [13 10 16 15 25 93  0 67 55 38 96 63  6 38 97 92 36 59 68  0]
 [31  7 67 74  7 39  6  0 48 98  3 13 19 75 41 20 87 87  2 82]
 [27 43 22 65 78  8 49 18  0 13 31 51 15 61 86 19 60 83 73 78]
 [17 56  6 65 68 99 71 30 71  0 86 14 71  9 92 51 26 89 89 55]
 [30 84 23 96 41 22 78 25 56 55  0 48 91  3 60 11 54 51 36 88]
 [37 29 50 11 73 34 17 12 39 59 29  0 97 66 81 28 62  6 86 51]
 [29 99 21 53 25  9 91  0 45 70 34 97  0 42 96 34 32 88  9 60]
 [44 32 77 86 86 46 56 42 91 52 32 40 72  0 85 66 89 74 97  6]
 [22 24 16  5 41 16 88 54 17  4 58  3  4 52  0 95 67 41 46 68]
 [17  2 60 43 34 96  8 11  3  8 24 49 59  2 48  0  7 28 52 59]
 [36 32  7 47 57  3 94 80 88 43 23 92  5 83 18 67  0 21 86 13]
 [70 92 88  1 87  5 20 88 42 31 57 27 27 59 52 67 79  0 85 83]
 [69 27 70 49 76 59 40 70  1 74  5 72 64  2 76 51  9 28  0 62]
 [98 72 23 58 99 30 64 28 92  7 99 34 43 96 57 99 35 28 68  0]]",1.1e-05,1.5e-05
30,"[[ 0 73 15 52 71 22 88 29 27 25 29 70 75 64 49 22 87 30 95 81 15 97  3 86
  78 81 27 39 10 61]
 [82  0 92 93 73 17 32 48 68 47 57  7 82 80 64 10 68 50 71 38 72 43 21 19
  82 19 83 12 98  3]
 [56 60  0 60 64 24 71 67 38 89 18 73 54  8 68 97  3 25 52 56 60 57 41 80
   4 49 53 66 93 67]
 [54 68 87  0 78 67 24 63 86 83 69 15 38 92 49 68 10 67  8 53 30 93 50 62
  51 97 99 80 98 32]
 [57 68  6 47  0 45 25 15 40 37 55 86 97 56 96  8 23  9 77 10 19 39 97 43
  49 21 56 90 76 26]
 [66 39 33 34 86  0 73 80 82 53  2 30 46 26 39 23 60 61 74 86 12 43 86 65
  68 88 71 11 27 91]
 [85  7 51 79 65 34  0 66 58 77 37 58 18  3 58 33 79 93 57 86 27 88 12 23
  13 78 65 51 77  3]
 [ 0  8 82 61 57  9 20  0  1 93 63 77 38 90 58 52 29 30 60 90 23 73  0 97
   8  7 28 76 44 54]
 [74 61 70 67  9 86 86 88  0 88 44  5 95 12 10 24 82 50 34 77 98 76 63  9
  36 80 80 48  0 72]
 [81 24 60 64 26 65 12 75 69  0 26 48 59 95 61 69 38 48 47 21 61 52 47 46
  56 37 96 11 75 63]
 [88 54 21 57 42 70  3 70 16 83  0 31 10 32 96 11 85 26 14  5 93 49 58 38
  87 29 43 53 49 51]
 [28 21 42 17 46 47 57 12 87 80 42  0 19 60 83 89 62 79 75 69 77 41 99 37
  14 91 40 17 35 90]
 [43 46  0 66 63 54  2 53 88 67 47 10  0 39 26 72 27 42 90 98 70  9 48 59
  21  7 25 63 87  8]
 [75 81 37 89 16 20 96 42 81 10 28 56  7  0 22 60 46 54 30 34 72 44 57 16
   9 55 82 74 24 34]
 [ 4 39 39 55 59 24 66 39  7 73 34 60 64 45  0 67 13 38 38 20 46 26 53 48
  68 89 34 78 60 89]
 [48 41 65 13 81 15  1 16 16 63 76 51 30 80 64  0 93 45 48 63 95 84 63  3
  13 56 58 99 69 39]
 [26 27 28 72 76 96 29  4 38 42 51 94 28  9 54 86  0 16 34 55 95 34 37 45
  68 44 75  8 60 47]
 [27  4 71 72 14 71 64 65 10 27 65 73 87  1 84 83 81  0 51 40 69 32 35  4
  84 26 22 53 31 16]
 [73 75 86 16 32 10  5 77 66  3 16 52 71 18 88 72 31 71  0 68 82 27 92  2
  29 23 91 49 94 88]
 [84 68 75 24 57 31 17  5 47 94 77 13 63 34 57 73 39 45 50  0 14 99  8 18
  40 24  4 56 46 40]
 [10 50 14 37  9 28 92 69 77 31 36 33 23 77 18 87 17 19  1 88  0  3 15 94
  63 22 81 97 61 53]
 [ 8 84  4 25 83 83  8 55 13 92 75 16  9 48 47 25  0 66 56 12 51  0 41 68
   0 48  5 44 68 84]
 [91 20 36 40 62 32 68 83 55 55 29 43 21 24 84 92 66 29 19 35 71 34  0 77
  54 72 16 33 25 79]
 [72 81 87 84 60 74 26 15 71 84 40 72  5 43 74 65 34 95 75 16  9 82 79  0
  98 67 68 88 52 89]
 [88 21 36  7 39 30 51 31 96  4  1 50 56 97 50 96 37 34 37 64 58 95 41 18
   0 21 57  4 75 40]
 [53 81 30 93 42 51 99 15 10 94 56 44 47 72 84  9 86 90 56 61 91 40  4 14
  60  0 70 49 65 27]
 [51  3 44 91 36 21 68 28 13 39 68 42 43 21 37 33 85 95 58 48 28 58 20 32
  12 73  0  1 80 14]
 [19 91 11 23  5 47 74 68 92 16 89 74 65 91 55  8 60 33 15 56 84  6 41  8
  37 68 34  0 52 63]
 [15  7  4 34 77 19 33 40 62 33 91 59 61 73 38 43 23 17 50 63 73 70 88  4
  31 32 21 20  0 73]
 [84 25 39 21 37 34 82 29  8 31 34 18 56 89 27 41 46 98 51 65 57 84 25 93
  38 65  7 15 34  0]]",1.6e-05,2.1e-05
40,"[[ 0 54  4 ... 15  2  0]
 [28  0 37 ... 23 27  7]
 [33 81  0 ... 88 85 24]
 ...
 [72 61 53 ...  0 60  1]
 [10 38 12 ... 75  0 67]
 [94 22 35 ... 79 90  0]]",2.4e-05,3.3e-05
50,"[[ 0 81 58 ... 93 10 97]
 [64  0 38 ... 91  7 21]
 [45 24  0 ... 10 85  6]
 ...
 [80 11 34 ...  0 69 35]
 [40 48  3 ... 23  0 34]
 [13 68 82 ... 17 37  0]]",3.4e-05,4.2e-05
60,"[[ 0 58 78 ... 30  4 39]
 [26  0 76 ... 16 83 56]
 [36 19  0 ...  6 32 47]
 ...
 [73 55 27 ...  0  7 92]
 [36 37 38 ... 61  0 40]
 [11 39 14 ... 80 66  0]]",4.8e-05,5.7e-05
70,"[[ 0 28 15 ... 83 99 52]
 [96  0 78 ... 87 37 53]
 [93 67  0 ... 14 69 22]
 ...
 [70 43 85 ...  0 71 75]
 [24 97 17 ... 83  0 42]
 [89 76 69 ... 45 73  0]]",6.4e-05,7.4e-05
80,"[[ 0 58 91 ... 33 45 43]
 [71  0  5 ... 75 45 68]
 [42 40  0 ... 75 48 50]
 ...
 [74 88 28 ...  0 15  5]
 [51  9 58 ... 16  0  1]
 [62 51 42 ... 49 39  0]]",7.4e-05,9.2e-05
90,"[[ 0 19 53 ... 93 49 50]
 [51  0 70 ... 16 54 97]
 [47  2  0 ... 15 11 63]
 ...
 [55 78 27 ...  0 95 38]
 [ 5 66 32 ... 63  0 80]
 [23 48  0 ... 56 69  0]]",9.3e-05,0.000113
100,"[[ 0 95 78 ... 43 91 90]
 [76  0 35 ... 93 73 84]
 [26 65  0 ... 46 30 32]
 ...
 [89 90 65 ...  0  7 70]
 [59 37 58 ... 20  0 68]
 [35 55  3 ... 88 95  0]]",0.000105,0.000126
200,"[[ 0 54 11 ...  0  9 37]
 [ 6  0  1 ... 14 58 99]
 [47 65  0 ... 48 13 21]
 ...
 [32 24  1 ...  0 99 98]
 [63 48 35 ... 38  0  6]
 [17 64 70 ... 65 87  0]]",0.000364,0.000384
300,"[[ 0 34 49 ... 24 60 57]
 [28  0 31 ... 22 62  1]
 [11 79  0 ... 31 48 93]
 ...
 [44 23 44 ...  0 94 46]
 [72 20 86 ... 44  0 71]
 [69 68 21 ... 10 94  0]]",0.000749,0.000742
400,"[[ 0  2 52 ...  4 55 67]
 [25  0 60 ... 97 19 59]
 [65  7  0 ... 58 30 96]
 ...
 [77 92 25 ...  0 65 43]
 [34 91 69 ... 57  0  9]
 [51 89 55 ... 57 41  0]]",0.001294,0.001237
500,"[[ 0 94 41 ... 98 70  4]
 [21  0 35 ... 51 55 37]
 [84 53  0 ... 82 89 74]
 ...
 [21 47  5 ...  0 85 36]
 [10 70 70 ...  7  0  6]
 [40 14 49 ... 99 28  0]]",0.001958,0.001822
600,"[[ 0 62  1 ... 79  5 31]
 [43  0  8 ...  3 33 28]
 [57 33  0 ... 65 15 14]
 ...
 [25 72 49 ...  0 24 89]
 [99  5 55 ... 12  0 10]
 [86 14 13 ... 94 38  0]]",0.002796,0.002554
700,"[[ 0 66 10 ... 96 42 81]
 [60  0 20 ... 48 98 69]
 [64 69  0 ... 95 77 15]
 ...
 [88 70 43 ...  0 93 36]
 [30 39 46 ... 55  0 61]
 [54  2  8 ... 38 37  0]]",0.003753,0.003422
800,"[[ 0 58  2 ...  7 16 18]
 [90  0 66 ... 41 44 34]
 [11 13  0 ...  6  4 37]
 ...
 [52 52 80 ...  0 95 34]
 [79  8 18 ... 35  0 98]
 [18 67 99 ... 83 79  0]]",0.004882,0.004336
900,"[[ 0 98 16 ... 28 29 14]
 [28  0 39 ... 92 87 97]
 [ 8 54  0 ... 61 33 76]
 ...
 [66 29 56 ...  0 73 88]
 [36 79 59 ... 90  0 14]
 [34 87 85 ... 91 96  0]]",0.00641,0.005539
1000,"[[ 0 84 92 ... 26 19 53]
 [94  0 12 ... 45 14 81]
 [88 35  0 ...  1 39 75]
 ...
 [11 46 54 ...  0 15 32]
 [85  1 88 ... 97  0 54]
 [69 81 76 ... 41 85  0]]",0.007742,0.006861
1100,"[[ 0 31 76 ... 50 95 24]
 [72  0 52 ... 72 19 52]
 [31 19  0 ... 47 52 30]
 ...
 [29  2 63 ...  0 18 58]
 [92  8  3 ... 13  0 55]
 [85 76 46 ... 94 12  0]]",0.009972,0.008275
1200,"[[ 0 53 91 ... 60 61 19]
 [69  0 71 ... 65 98 66]
 [19 52  0 ...  1 26 57]
 ...
 [ 8 37 17 ...  0 68 92]
 [48 46 97 ...  3  0 53]
 [56  9 53 ...  7  3  0]]",0.01128,0.009889
1300,"[[ 0 98 52 ... 24  9 17]
 [41  0 72 ... 19 25 41]
 [66 63  0 ... 68 42 78]
 ...
 [66 68 19 ...  0 78 33]
 [54 99 18 ...  1  0 41]
 [20 91 97 ...  1 29  0]]",0.013183,0.011137
1400,"[[ 0 39  5 ...  2 25 68]
 [36  0 57 ... 45 88  8]
 [10 10  0 ... 38 91 58]
 ...
 [65 15 81 ...  0 40 19]
 [49 19 90 ... 44  0 67]
 [18 33 48 ... 16 42  0]]",0.015359,0.013069
1500,"[[ 0 91 11 ...  3 24 74]
 [30  0 48 ...  7 23 23]
 [80 74  0 ...  8 19 22]
 ...
 [55 54 65 ...  0 29 10]
 [27 75 83 ... 26  0 25]
 [92 38 26 ... 21  5  0]]",0.017699,0.015208
1600,"[[ 0 37 85 ... 11 70 39]
 [75  0 29 ... 58 99  5]
 [58 45  0 ... 53 75 45]
 ...
 [17 91 22 ...  0 10 46]
 [40 53  6 ... 63  0 67]
 [35 43 24 ... 52 26  0]]",0.019861,0.017548
1700,"[[ 0  0 34 ...  1 98 30]
 [91  0  6 ... 86 27 83]
 [57 84  0 ... 47  4 61]
 ...
 [ 9 68 76 ...  0 18 16]
 [39 44 56 ... 74  0 68]
 [22 97 13 ... 89 80  0]]",0.022774,0.019765
